Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,
0, 101, 1881, 779.9043062200957, 508.7719298245614, 584.7953216374269, 674.6411483253588, 234.98139287612972, 802.4986709197235, 1851.143009037746, 259.170653907496, 2727.2727272727275, 1221.6905901116427, 300.1063264221159, 306.48591174906966, 773.524720893142, 733.9181286549708, 665.337586390218, 
0, 102, 7920, 332.6388888888889, 432.82828282828285, 342.0138888888889, 625.8522727272727, 544.3181818181819, 655.2714646464647, 599.3686868686868, 430.2083333333333, 3563.6363636363635, 871.5909090909091, 635.290404040404, 443.40277777777777, 673.0113636363636, 584.3118686868687, 513.3522727272727, 
5, 101, 1881, 1083.5364167995747, 692.7161084529506, 662.7049441786284, 816.6975013290803, 538.6709197235513, 816.5837320574162, 1684.9580010632642, 515.0776182881445, 2383.2610313662944, 1224.2402977139818, 829.7198298777246, 638.9319510898458, 838.882509303562, 922.2142477405636, 762.9362041467305, 
5, 102, 7920, 466.27310606060604, 851.6825757575757, 475.05290404040403, 988.7151515151515, 1044.4007575757576, 890.3912878787879, 676.3531565656566, 810.8217171717172, 3650.1272727272726, 1189.933207070707, 1459.7411616161617, 976.7183080808081, 999.7022727272728, 959.3290404040404, 794.2002525252525, 
10, 101, 1881, 1440.7437533227007, 1152.50451887294, 750.8942052099947, 980.6671982987773, 862.4572036150984, 843.0207336523126, 1598.5635300372142, 744.805422647528, 2192.0042530568844, 1355.314726209463, 1184.9144072301967, 888.8984582668793, 957.294524189261, 1107.5093035619352, 881.8883572567784, 
10, 102, 7920, 601.1340909090909, 1379.8093434343434, 675.4229797979798, 1319.4875, 1545.7107323232324, 1110.8393939393939, 746.1487373737374, 1158.394696969697, 3732.786742424242, 1455.5492424242425, 2015.8714646464646, 1463.3911616161615, 1290.116287878788, 1345.397095959596, 1081.3422979797979, 
15, 101, 1881, 1827.8357256778309, 1723.6267942583731, 852.1733120680489, 1147.2083997873472, 1179.8968633705476, 857.3503455608719, 1523.1812865497077, 933.5986177565125, 2038.3822434875067, 1478.144072301967, 1452.5066454013822, 1067.9936204146732, 1093.2599681020733, 1274.792663476874, 997.1334396597555, 
15, 102, 7920, 732.6353535353535, 1950.1631313131313, 869.2310606060606, 1618.7919191919193, 2007.449494949495, 1302.2762626262627, 805.4963383838384, 1487.4863636363636, 3804.8247474747473, 1679.746085858586, 2471.0709595959597, 1907.5491161616162, 1559.7199494949496, 1691.9782828282828, 1342.5645202020203, 
20, 101, 1881, 2243.654439128123, 2271.7756512493356, 911.4965443912812, 1270.9319510898458, 1464.5406698564593, 862.013822434875, 1485.1674641148325, 1061.4226475279106, 1912.88995215311, 1602.6671982987773, 1718.6507177033493, 1224.307283359915, 1224.7565124933546, 1458.3498139287613, 1087.7719298245613, 
20, 102, 7920, 844.9744949494949, 2456.552777777778, 1029.9983585858586, 1829.8416666666667, 2361.7059343434344, 1426.6030303030302, 850.6141414141414, 1769.4126262626262, 3856.0150252525254, 1845.6238636363637, 2802.0925505050504, 2278.865909090909, 1770.2362373737374, 1954.4131313131313, 1535.0675505050506, 
